Date,PM2.5,AOD,Temperature,RH,Wind Speed,Solar Rad,BP,Rain,Month,DayOfYear,Year,Season_ord,AOD_Loading_ord,Rain_Status_ord,Humidity_ord,Temp_ord,Wind_Polluted,Wind_Origin_missing,WindDir_sin,WindDir_cos,WindDir_missing,GeoZone_enc,Station_enc,Latitude,Longitude
2014-01-06,130.81714285714287,0.839841176,20.02,60.25625,2.16,13.92875,1014.13125,0.14,1,6,2014,4,3,1.0,2.0,2.0,1.0,0.0,-0.3813527450875546,0.9244295991659865,0.0,83.5885,85.3572,22.323153,91.802209
2014-01-07,150.49690201730726,0.464947059,19.14090909090909,67.08909090909091,2.811818181818182,108.1509090909091,1015.4540909090908,0.51,1,7,2014,4,2,1.0,2.0,1.0,0.0,0.0,0.11283273694763005,-0.9936139962142778,0.0,83.5885,85.3572,22.323153,91.802209
2014-01-08,142.50507163463965,0.581517647,18.648333333333333,56.114583333333336,3.2716666666666665,140.77541666666667,1016.4070833333334,0.56,1,8,2014,4,2,1.0,2.0,1.0,0.0,0.0,-0.8270110789978552,-0.5621856234508343,0.0,83.5885,85.3572,22.323153,91.802209
2014-01-09,144.0895494459841,0.3213,17.731666666666666,62.33375,2.212916666666666,141.15041666666667,1015.1679166666668,0.25,1,9,2014,4,2,1.0,2.0,1.0,0.0,0.0,-0.14231222075109504,-0.9898218182202753,0.0,83.5885,85.3572,22.323153,91.802209
2014-01-10,145.15859828515818,0.208894118,18.205714285714286,66.27428571428571,2.071428571428572,98.76190476190476,1015.1742857142856,0.15,1,10,2014,4,1,1.0,2.0,1.0,0.0,0.0,-0.285425521339798,-0.9584008930337579,0.0,83.5885,85.3572,22.323153,91.802209
2014-01-11,143.55913818895823,0.112405882,19.835,69.23166666666667,1.8929166666666664,162.24416666666667,1015.8120833333334,0.28,1,11,2014,4,1,1.0,2.0,1.0,0.0,0.0,0.5954948470487065,-0.8033591271271134,0.0,83.5885,85.3572,22.323153,91.802209
2014-01-12,153.9702173145896,1.173270588,19.223684210526315,72.27315789473684,1.6566666666666667,138.5142105263158,1017.5573684210526,0.12,1,12,2014,4,3,1.0,2.0,1.0,0.0,0.0,0.4352310993723272,-0.9003187714021936,0.0,83.5885,85.3572,22.323153,91.802209
2014-01-13,149.89300480330286,0.560047059,20.84125,62.37958333333333,2.1966666666666668,131.01041666666666,1016.3504166666668,0.45,1,13,2014,4,2,1.0,2.0,2.0,0.0,0.0,-0.9805019248391653,-0.1965094791268142,0.0,83.5885,85.3572,22.323153,91.802209
2014-01-14,151.59808732748164,0.855605882,19.8525,70.29041666666667,1.659166666666667,128.62708333333333,1015.7104166666668,0.2,1,14,2014,4,3,1.0,2.0,1.0,0.0,0.0,-0.36085152019837874,-0.9326232789130449,0.0,83.5885,85.3572,22.323153,91.802209
2014-01-15,156.83071034185804,0.900714286,17.936666666666667,84.02833333333334,1.77375,108.40041666666669,1016.815,0.27,1,15,2014,4,3,1.0,3.0,1.0,0.0,0.0,-0.11610013715532552,-0.9932375134641838,0.0,83.5885,85.3572,22.323153,91.802209
2014-01-16,159.36654386119258,0.703835294,17.322083333333335,80.07083333333334,1.887916666666667,105.54416666666668,1017.8695833333333,0.2,1,16,2014,4,2,1.0,3.0,1.0,0.0,0.0,-0.6024594973987897,-0.798149455925391,0.0,83.5885,85.3572,22.323153,91.802209
2014-01-17,161.94671200216584,0.379682353,18.11047619047619,81.76380952380953,1.831428571428572,103.67190476190476,1017.1714285714284,0.29,1,17,2014,4,2,1.0,3.0,1.0,0.0,0.0,-0.4954875452632125,-0.8686150427485331,0.0,83.5885,85.3572,22.323153,91.802209
2014-01-18,162.92483454674615,0.376988095,20.929166666666667,77.22833333333334,1.4016666666666666,140.96875,1018.29125,0.19,1,18,2014,4,2,1.0,3.0,2.0,0.0,0.0,0.6136652655106752,-0.7895662998796951,0.0,83.5885,85.3572,22.323153,91.802209
2014-01-19,164.5391747613887,0.556094118,21.076666666666668,71.18708333333333,1.08,141.56125,1019.23,0.09,1,19,2014,4,2,1.0,2.0,2.0,0.0,0.0,-0.3644298676155741,-0.9312308368979708,0.0,83.5885,85.3572,22.323153,91.802209
2014-01-20,162.12495448476926,0.523047059,21.82041666666667,58.303333333333335,2.7175,141.45624999999998,1019.2533333333332,0.43,1,20,2014,4,2,1.0,2.0,2.0,0.0,0.0,0.41827665650343193,-0.9083196786508095,0.0,83.5885,85.3572,22.323153,91.802209
2014-01-21,159.40539568856693,0.370035294,20.355416666666667,70.07291666666667,2.1075,147.94041666666666,1018.6654166666668,0.23,1,21,2014,4,2,1.0,2.0,2.0,0.0,0.0,-0.7199961995530362,-0.6939780058684746,0.0,83.5885,85.3572,22.323153,91.802209
