,PM2.5,AOD,Temperature,RH,Wind Speed,Solar Rad,BP,Rain,Month,DayOfYear,Year,Season_ord,AOD_Loading_ord,Rain_Status_ord,Humidity_ord,Temp_ord,Wind_Polluted,Wind_Origin_missing,WindDir_sin,WindDir_cos,WindDir_missing,GeoZone_enc,Station_enc,Latitude,Longitude
PM2.5,1.0,0.15237345590699125,-0.4662329699132126,-0.14250614354855384,0.12063599540420893,-0.023514760679332693,0.07460863224852046,0.037271363219965686,-0.3023572275457735,-0.29657250283767966,0.03355871030293245,0.6404883491012096,0.14035216270064843,0.11307618134888668,-0.12597427144221676,-0.37877128085738965,0.017776066322866144,-0.06447888034394823,-0.20049186008475597,0.012246812923631278,-0.06447888034394823,0.2983751416812158,0.3285232591307643,-0.012414319691253756,-0.08831172106861745
AOD,0.15237345590699125,1.0,-0.07870954323998476,0.007002406140431833,0.005947328112038022,0.03199592066323294,-0.003117822563337542,0.017857368731607853,-0.16317814205924042,-0.16036213836921911,-0.025090379778047515,0.14181562847612836,0.8195013668641933,0.032481952035782725,0.0164685421559937,-0.06318285938310025,0.024272486853870102,0.03352822121625795,-0.006214265390232675,0.020375856827273116,0.03352822121625795,0.0996976455550749,0.1190249688995018,-0.02688968855404846,-0.138276818171963
Temperature,-0.4662329699132126,-0.07870954323998476,1.0,-0.050855927351656935,0.009676557261124352,0.036899778055616055,-0.2008181601117049,-0.05218365676072229,0.1375931062505045,0.13543207776427332,-0.0786435727880682,-0.5879765485357994,-0.05676972245189361,-0.0065258681102877015,-0.06350636110697118,0.868941095431084,-0.0943395644397437,-0.01840185363060515,0.1091514097666754,-0.09237808682097591,-0.01840185363060515,0.1307176393165742,0.17601860464685898,-0.013817698570134472,-0.0031175278267916223
RH,-0.14250614354855384,0.007002406140431833,-0.050855927351656935,1.0,-0.2198993257988617,-0.39627898524568317,0.047215361480111996,-0.12197334324139283,0.08174815224286894,0.0821150442358845,-0.006984015065278746,-0.035723883001885726,-0.010665060817861694,-0.15229274726876468,0.8776250662032573,-0.006123694367494678,0.0047850288034715195,0.045226294624475534,0.005524620157550568,0.014790044588894474,0.045226294624475534,-0.30258508494824043,-0.26123343933104615,0.08789286099405746,0.00045932950018487363
Wind Speed,0.12063599540420893,0.005947328112038022,0.009676557261124352,-0.2198993257988617,1.0,0.07904060121390016,-0.10796476460768079,0.41581684847951006,-0.026148622369322513,-0.026697768583915205,0.0036467772656861366,-0.001999513801992929,0.013840260976095685,0.272483195094128,-0.2793061042362763,0.036398501631923735,0.11342479128359789,-0.11165266573172318,0.14520876254464024,0.044761470626833035,-0.11165266573172318,0.2999708723458973,0.2838097940634428,0.06526220684390345,0.05421406340510575
Solar Rad,-0.023514760679332693,0.03199592066323294,0.036899778055616055,-0.39627898524568317,0.07904060121390016,1.0,-0.22203029042109354,0.18916179997501475,-0.052026630481248795,-0.05316721006464047,0.12738463228777025,-0.07907542929217774,0.04966437143657657,0.07875677433788336,-0.3158229595526727,0.010507162966942984,0.09033582557153283,0.09258971472223501,0.035627677697722425,0.06492034469322114,0.09258971472223501,0.15732663484559906,0.0772196327200018,-0.11214886160001314,-0.052480410362482126
BP,0.07460863224852046,-0.003117822563337542,-0.2008181601117049,0.047215361480111996,-0.10796476460768079,-0.22203029042109354,1.0,-0.07084225602382169,-0.034267624389173364,-0.03329736030793488,-0.1536403847162019,0.22776935291743758,-0.01680343812212244,0.013607025497510111,0.040872058563832886,-0.15996036256888096,-0.07605478772743685,-0.13751788828195038,-0.05381222490516157,-0.060191933154697064,-0.13751788828195038,-0.28118217780047455,-0.31992521740499,-0.1071280734462261,0.09475180994100675
Rain,0.037271363219965686,0.017857368731607853,-0.05218365676072229,-0.12197334324139283,0.41581684847951006,0.18916179997501475,-0.07084225602382169,1.0,0.020591516171016167,0.019203182115209962,-0.030778641046192125,-0.013117550376034461,0.02567729748362817,0.35024052957423685,-0.1345935711886385,-0.03266744342423805,0.07385063452600385,-0.0852305931542004,0.11743658600517926,0.029526776340944128,-0.0852305931542004,0.10481086918402804,0.08357004801243893,0.022737848892841153,-0.0376356058399352
Month,-0.3023572275457735,-0.16317814205924042,0.1375931062505045,0.08174815224286894,-0.026148622369322513,-0.052026630481248795,-0.034267624389173364,0.020591516171016167,1.0,0.9974181966848165,-0.018180205763866537,-0.44291368089929717,-0.16243531304716594,-0.041851898769293135,0.10459961868665642,0.11641976952719792,0.060235350157804936,0.010499646982504615,0.03798788618076109,0.08355955254116915,0.010499646982504615,-0.008341843082573953,-0.0252609155651603,0.05094941503008922,0.020056426845660436
DayOfYear,-0.29657250283767966,-0.16036213836921911,0.13543207776427332,0.0821150442358845,-0.026697768583915205,-0.05316721006464047,-0.03329736030793488,0.019203182115209962,0.9974181966848165,1.0,-0.018764710990174745,-0.4420083075682068,-0.1588106893731425,-0.04271486420918964,0.10488667708473355,0.11462641136843196,0.06102376500040991,0.009713104374786265,0.036688236936974754,0.08406806093667168,0.009713104374786265,-0.008251455057723402,-0.025127343564748342,0.0515329309565355,0.019763169448991032
