R2,RMSE,MAE,nRMSE,Spearman_rho_pred,Model_ID,Model_Label,Algorithm,N_features,N_train,N_test
-0.0059,64.27,51.7,0.6483,0.0938,M1,Model 1: AOD only,GBM,1,8355,2690
0.0124,63.68,51.263,0.6424,0.1585,M1,Model 1: AOD only,Linear,1,8355,2690
-0.0075,64.318,51.786,0.6488,0.0904,M1,Model 1: AOD only,RF,1,8355,2690
0.4567,47.231,35.807,0.4765,0.6689,M2,Model 2: AOD + season/location,GBM,4,8355,2690
0.4315,48.316,37.222,0.4874,0.6609,M2,Model 2: AOD + season/location,Linear,4,8355,2690
0.4414,47.894,36.24,0.4831,0.6621,M2,Model 2: AOD + season/location,RF,4,8355,2690
0.4806,46.18,34.366,0.4659,0.7388,M3,Model 3: Full Dataset A,GBM,23,8355,2690
0.3884,50.113,39.086,0.5055,0.6419,M3,Model 3: Full Dataset A,Linear,23,8355,2690
0.5368,43.611,32.492,0.4399,0.7628,M3,Model 3: Full Dataset A,RF,23,8355,2690
0.2198,56.602,43.51,0.571,0.4644,M4,Model 4: AOD corrections only,GBM,6,8355,2690
-0.0195,64.701,51.75,0.6527,0.1385,M4,Model 4: AOD corrections only,Linear,6,8355,2690
0.1718,58.316,44.892,0.5883,0.4137,M4,Model 4: AOD corrections only,RF,6,8355,2690
0.4723,46.548,34.822,0.4696,0.7336,M5,Model 5: Full Dataset B,GBM,40,8355,2690
0.5076,44.965,34.376,0.4536,0.7373,M5,Model 5: Full Dataset B,Linear,40,8355,2690
0.541,43.415,32.232,0.438,0.7655,M5,Model 5: Full Dataset B,RF,40,8355,2690
0.47,46.652,34.706,0.4706,0.7312,M6,Model 6: No AOD (ablation),GBM,22,8355,2690
0.388,50.128,39.094,0.5057,0.642,M6,Model 6: No AOD (ablation),Linear,22,8355,2690
0.5366,43.62,32.48,0.44,0.7614,M6,Model 6: No AOD (ablation),RF,22,8355,2690
