Time,month,year,Agrabad,Baira,Darus Salam,East Chandana,Farmgate,Khanpur,Khulshi,Red Crescent Office,Sopura,Uttar Bagura Road
01-01-2014,1,2014,0.265611765,0.667721591,0.38304023,0.474721591,0.37055,0.432322222,0.286383333,0.291380682,0.471158824,0.437296512
02-01-2014,1,2014,0.369411765,0.8976875,0.897816092,0.913664773,0.879233333,0.891694444,0.384244444,0.569352273,0.987994118,0.849517442
03-01-2014,1,2014,0.623535294,1.358403409,1.012017241,1.034903409,1.046894444,1.123155556,0.651661111,0.816619318,1.016329412,1.172168605
04-01-2014,1,2014,0.582952941,0.875460227,0.968586207,0.9028125,0.938005556,0.885188889,0.612305556,0.508375,0.885988235,0.898959302
05-01-2014,1,2014,0.593964706,1.507096591,0.999367816,0.936113636,0.973444444,1.601133333,0.616605556,0.718482955,0.944,1.371866279
06-01-2014,1,2014,0.839841176,,,,,,0.864327778,1.038227273,,
07-01-2014,1,2014,0.464947059,,3.310965517,3.819152941,3.347688889,2.530122222,0.497655556,0.853147727,3.131682353,1.511410256
08-01-2014,1,2014,0.581517647,0.555102273,0.659666667,0.829198864,0.645311111,0.769594444,0.600605556,0.625181818,0.955629412,0.45930814
09-01-2014,1,2014,0.3213,0.826358025,1.391875,,,,0.358372222,0.493261364,,0.389325301
10-01-2014,1,2014,0.208894118,0.72125,0.571356322,0.644647727,0.519155556,0.777655556,0.248972222,0.393420455,0.593376471,0.507203488
11-01-2014,1,2014,0.112405882,0.589,0.535454023,0.6529375,0.50815,0.466911111,0.11955,0.537965909,0.861552941,0.40272093
12-01-2014,1,2014,1.173270588,,,0.834886364,,,1.013311111,0.658522727,0.848570588,
13-01-2014,1,2014,0.560047059,1.116545455,0.678390805,0.826653409,0.658227778,0.714944444,0.574672222,0.406613636,0.922282258,0.746697674
14-01-2014,1,2014,0.855605882,,1.378367816,1.338590909,1.365944444,1.469644444,0.860594444,0.533107955,1.089176471,0.978924419
15-01-2014,1,2014,0.900714286,,,,,,0.901714286,0.473835227,,
16-01-2014,1,2014,0.703835294,,,,,,0.737266667,0.83602381,,
17-01-2014,1,2014,0.379682353,0.011238636,0.576241379,0.539806818,0.550777778,0.681344444,0.3619,0.322420455,0.509823529,0.621837209
18-01-2014,1,2014,0.376988095,0.581301136,0.428425287,0.518784091,0.397005556,0.436377778,0.395890244,0.205689655,0.468658824,0.68203125
19-01-2014,1,2014,0.556094118,1.043642045,0.357896552,0.825715909,0.634216667,0.708716667,0.570061111,0.431375,0.041117647,0.720982558
20-01-2014,1,2014,0.523047059,1.251295455,0.764310345,0.738113636,0.771944444,0.742638889,0.507277778,0.5755625,0.761141176,0.863790698
21-01-2014,1,2014,0.370035294,,0.891972222,0.996596154,0.927828571,,0.391077778,0.2158125,0.908012048,0.433939759
22-01-2014,1,2014,0.265852941,,0.672586207,0.539647727,0.624605556,0.454088889,0.275977778,0.187227273,0.509523529,0.611341463
23-01-2014,1,2014,0.251664706,0.622164773,0.499729885,0.508136364,0.465416667,0.395705556,0.272566667,0.140539773,0.477735294,0.474587209
24-01-2014,1,2014,0.383670588,0.877454545,0.787862069,0.7325625,0.788283333,0.821433333,0.39375,0.586352273,0.738711765,0.610580247
25-01-2014,1,2014,0.4379,0.560113636,0.626643678,0.691068182,0.609911111,0.593870588,0.446527778,0.535806818,0.7644,0.645058824
26-01-2014,1,2014,0.481582353,0.394875,0.722126437,0.807289773,0.722711111,0.636827778,0.503411111,0.644642045,0.805794118,0.443569767
27-01-2014,1,2014,0.356623529,0.509125,0.649281609,0.647148148,0.597683333,0.524611111,0.364683333,0.560772727,0.603459459,0.434540698
28-01-2014,1,2014,,,0.66016092,0.737886364,0.689255556,0.952164179,,0.464215909,0.839164706,
29-01-2014,1,2014,,0.720063218,0.440241379,0.410715909,0.42245,0.395261111,,0.123590909,0.388729412,0.478686047
30-01-2014,1,2014,0.177782353,0.720511364,0.419321839,0.495375,0.472722222,0.370038889,0.188255556,0.008090909,0.540505882,0.247337209
31-01-2014,1,2014,0.224623529,0.626829545,0.514281609,0.530732955,0.518844444,0.452688889,0.248511111,0.055977273,0.618405882,0.4894
01-02-2014,2,2014,0.275,0.629159091,0.688988506,0.582238636,0.6852,0.637211111,0.2984,0.047357955,0.507458824,0.459046512
02-02-2014,2,2014,0.243052941,0.396039773,0.464787356,0.476420455,0.474594444,0.401377778,0.274488889,0.106414773,0.443605882,0.402
03-02-2014,2,2014,0.236964706,0.304329545,0.460609195,0.535840909,0.433016667,0.417811111,0.309411111,0.403636364,0.482611765,0.261348837
04-02-2014,2,2014,0.357488235,0.867346591,1.688034483,1.772592105,1.639688889,1.553733333,0.401816667,1.126225806,,0.696744048
05-02-2014,2,2014,0.781847059,1.031596591,1.680896552,1.895017045,1.677244444,1.550622222,0.802183333,1.185204545,1.858988235,1.071023256
06-02-2014,2,2014,0.966558824,0.751875,1.241781609,1.331397727,1.235522222,1.117077778,0.990705556,2.191960227,1.269558824,0.744610465
07-02-2014,2,2014,0.434535294,0.6535,0.787482759,0.875073864,0.784038889,0.716722222,0.457588889,0.755931818,0.748952941,0.691197674
08-02-2014,2,2014,0.780364706,1.242545455,1.081063218,0.964278409,1.124022222,1.031122222,0.831516667,0.452113636,0.823976471,0.871267442
09-02-2014,2,2014,,0.896778409,,0.460875,,,,,0.204170588,
10-02-2014,2,2014,1.113666667,1.159022727,1.215908046,1.193931818,1.256288889,0.985511111,1.204390805,,1.202428571,1.497566038
11-02-2014,2,2014,0.159423529,1.145136364,1.208683908,1.223625,1.266766667,1.092633333,0.3461,0.869295455,1.316588235,0.875581395
12-02-2014,2,2014,1.070623529,0.86025,0.658074713,0.683517045,0.676422222,0.646966667,0.38655,0.429522727,0.659623529,1.018918605
13-02-2014,2,2014,0.338864706,0.669738636,0.612172414,0.612880682,0.646666667,0.513394444,0.378211111,0.300079545,0.615964706,0.560790698
14-02-2014,2,2014,0.381676471,1.063801136,1.014902299,0.960943182,1.016227778,0.842677778,0.391,0.755982955,0.998888235,0.862184524
15-02-2014,2,2014,0.649458824,1.335005682,,,,1.947428571,0.689461111,,,1.1563625
16-02-2014,2,2014,,,,,,,,,,
17-02-2014,2,2014,,,,,,,,,,
18-02-2014,2,2014,0.445658824,0.652772727,0.736137931,0.710329545,0.778288889,0.696416667,0.463038889,0.398545455,0.711752941,0.675046512
19-02-2014,2,2014,0.229682353,0.580340909,0.354856322,0.300159091,0.343127778,0.309188889,0.248744444,0.104363636,0.254176471,0.513947674
20-02-2014,2,2014,0.308294118,0.489130682,0.722586207,0.629528409,0.835994444,0.514944444,0.333261111,0.106488636,0.511870588,0.564436047
21-02-2014,2,2014,0.264058824,0.6489375,0.731373563,0.860551136,0.747977778,0.719522222,0.2725,0.741744318,0.873311765,0.609156977
22-02-2014,2,2014,0.425541176,1.273892045,1.256517241,1.107136364,1.243222222,0.986461111,0.470161111,0.392761364,0.964882353,0.874168605
23-02-2014,2,2014,0.551594118,,1.023224138,0.947625,1.124744444,1.274522222,0.588683333,0.848363636,1.392833333,1.349918605
24-02-2014,2,2014,0.452182353,0.861528409,0.982224138,0.862636364,1.0259,0.910333333,0.471838889,0.784636364,0.856494118,0.895284884
25-02-2014,2,2014,0.446164706,0.958454545,0.861091954,0.860369318,0.883166667,0.740138889,0.457166667,0.961767045,0.775223529,0.819784884
26-02-2014,2,2014,0.304729412,1.713057471,1.16475,1.03332,1.1224,1.195378788,0.322355556,0.452693182,0.995423529,1.147538462
27-02-2014,2,2014,0.433723529,0.50825,0.068229885,0.048409091,0.0272,0.502066667,0.47445,0.533147727,0.947282353,0.546523256
28-02-2014,2,2014,0.784664706,0.398605882,,,,0.5055,0.800030488,,,0.586993333
01-03-2014,3,2014,0.191342466,0.283934211,0.417636364,,0.417636364,0.154384615,0.210158228,0.1259,0.3594375,0.195026667
02-03-2014,3,2014,0.188382353,0.679653409,0.615948276,0.648521739,0.648727778,0.653555556,0.200738889,,0.578329412,0.479033333
03-03-2014,3,2014,0.256576471,0.144670455,0.354413793,0.008102273,0.604466667,0.3421,0.277311111,0.236494318,0.497623529,0.487104651
04-03-2014,3,2014,,,,,,,,,,
05-03-2014,3,2014,0.288441176,0.538829545,0.478264368,0.457585227,0.492866667,0.358805556,0.350938889,0.666181818,0.457752941,0.567081395
06-03-2014,3,2014,0.316511765,1.004085227,0.730678161,0.716659091,0.786711111,0.9707,0.338355556,0.250511364,0.698488235,0.855762821
07-03-2014,3,2014,0.426952941,0.627528409,0.749304598,0.759153409,0.784833333,0.774366667,0.419633333,0.443545455,0.702494118,0.819563953
08-03-2014,3,2014,0.278382353,0.372664773,0.312442529,0.396,0.372688889,0.335255556,0.309622222,0.195482955,0.350776471,0.378604651
09-03-2014,3,2014,0.277064706,0.513181818,0.481264368,0.435295455,0.515361111,0.4975,0.2881,0.304556818,0.426752941,0.577587209
10-03-2014,3,2014,0.330018293,0.53475,0.286364706,0.436221591,0.316933333,0.365051724,0.393609589,0.169465909,0.387957831,0.445091549
11-03-2014,3,2014,0.401852941,0.801840909,0.562057471,0.699772727,0.57245,0.528727778,0.4217,0.662113636,0.645517647,0.455116279
12-03-2014,3,2014,0.275211765,0.213107955,,0.555755682,0.043155556,0.036677778,0.296422222,0.270272727,0.492094118,0.609610465
13-03-2014,3,2014,1.519267857,,,,,,1.48315,1.3780625,,
14-03-2014,3,2014,0.360223529,0.175647727,0.591022989,0.204386364,0.452766667,0.787088889,0.263866667,0.390045455,0.555588235,0.092139535
