Condition,N,CV_R2_AOD,Spearman_rho,Spearman_p
Wind = Unknown,5311,-0.0329,0.1452,0.0
Wind = Continental,1091,-0.0568,0.1751,0.0
Rain = No Rain,6381,-0.0806,0.1191,0.0
Season=Post-Monsoon & Rain=No Rain,1658,-0.0814,0.0499,0.042156
Season=Pre-Monsoon & Rain=No Rain,1513,-0.1218,-0.0716,0.005306
Season=Monsoon & Rain=No Rain,1033,-0.123,0.0722,0.020243
Season = Monsoon,1625,-0.1343,0.0926,0.000185
Rain = Heavy Rain,1367,-0.1465,0.128,2e-06
Season=Winter & Wind=Continental,486,-0.1996,0.1287,0.004488
Season = Pre-Monsoon,2816,-0.2004,-0.0801,2.1e-05
Season=Post-Monsoon & Rain=Heavy Rain,298,-0.2064,-0.0207,0.721405
Wind = Marine (Clean),4643,-0.2168,0.1288,0.0
Rain = Light Rain,3297,-0.2205,0.1716,0.0
Season=Post-Monsoon & Wind=Marine,1060,-0.2242,0.228,0.0
Season=Pre-Monsoon & Wind=Marine,1281,-0.2538,-0.132,2e-06
Season=Pre-Monsoon & Rain=Light Rain,960,-0.3054,-0.1431,9e-06
Season=Winter & Rain=No Rain,2177,-0.3152,0.1496,0.0
Season=Post-Monsoon & Wind=Continental,308,-0.3614,0.1967,0.000517
Season = Winter,3934,-0.3677,0.1937,0.0
Season=Monsoon & Wind=Marine,637,-0.4301,0.1798,5e-06
Season = Post-Monsoon,2670,-0.5372,0.1222,0.0
Season=Winter & Rain=Heavy Rain,491,-0.637,0.0516,0.253751
Season=Winter & Rain=Light Rain,1266,-0.653,0.3159,0.0
Season=Post-Monsoon & Rain=Light Rain,714,-0.8894,0.2904,0.0
Season=Monsoon & Rain=Light Rain,357,-0.9256,0.0927,0.080179
Season=Winter & Wind=Marine,1665,-1.0994,0.286,0.0
Season=Monsoon & Wind=Continental,103,-1.1874,-0.0784,0.431272
Season=Monsoon & Rain=Heavy Rain,235,-1.2848,0.1492,0.022179
Season=Pre-Monsoon & Wind=Continental,194,-1.9719,-0.0903,0.210709
Season=Pre-Monsoon & Rain=Heavy Rain,343,-1.9797,0.0041,0.939423
