R2,RMSE,MAE,nRMSE,Spearman_pred,Group,Algorithm,N_features
-0.0076,64.323,51.779,0.6489,0.0901,G1_AOD_raw,RF,1
0.0124,63.68,51.263,0.6424,0.1585,G1_AOD_raw,Ridge,1
-0.0076,64.323,51.78,0.6489,0.0901,G2_AOD_transforms,RF,4
0.0148,63.604,51.206,0.6416,0.1587,G2_AOD_transforms,Ridge,4
0.0349,62.952,49.883,0.635,0.2552,G3_AOD_corrected_only,RF,3
0.0131,63.659,51.061,0.6422,0.1774,G3_AOD_corrected_only,Ridge,3
0.5057,45.05,33.402,0.4545,0.7405,G4_physical_no_AOD,RF,21
0.5038,45.137,34.697,0.4553,0.7389,G4_physical_no_AOD,Ridge,21
0.5407,43.426,32.233,0.4381,0.7655,G5_full_system,RF,40
0.5076,44.965,34.376,0.4536,0.7373,G5_full_system,Ridge,40
0.5173,44.522,33.057,0.4491,0.7494,G5_ablation_no_AOD,RF,26
0.5097,44.871,34.3,0.4527,0.741,G5_ablation_no_AOD,Ridge,26
