Condition,N,Spearman_rho,Spearman_p,RF_R2_AOD_only,RMSE,nRMSE,Mean_PM25,Proxy_Quality,Significant_Spearman
Season=Monsoon & Wind Speed=Moderate(1-3),284,0.179,0.002461,0.3504,13.38,0.4164,32.13,Usable,Yes
Season=Monsoon & AOD_Loading=High AOD (>0.8) & Rain_Status=Heavy Rain,66,0.3551,0.003433,0.2498,19.3,0.4512,42.78,Poor,Yes
Season=Pre-Monsoon & Wind_Origin=Continental (Polluted) & Humidity_Profile=Moderate (50-75%),98,-0.0259,0.79993,0.2078,29.37,0.3479,84.4,Poor,No
Season=Monsoon & Wind_Origin=Marine (Clean) & Temp_Profile=Warm (20-28°C),98,0.1163,0.254233,0.1551,10.1,0.3591,28.12,Poor,No
Season=Monsoon & Wind_Origin=Continental (Polluted) & Rain_Status=No Rain,39,-0.1331,0.41921,0.1479,6.07,0.1847,32.87,Poor,No
Season=Pre-Monsoon & AOD_Loading=High AOD (>0.8) & Wind_Origin=Continental (Polluted),97,0.0159,0.876869,0.1287,44.09,0.5837,75.53,Poor,No
Season=Monsoon & Wind_Origin=Marine (Clean) & Rain_Status=Heavy Rain,165,0.1301,0.095883,0.1274,22.68,0.59,38.44,Poor,No
Season=Winter & Wind Speed=VeryHigh(>5),217,0.1543,0.022955,0.1132,32.48,0.1678,193.59,Poor,Yes
Season=Winter & Wind_Origin=Marine (Clean) & Rain_Status=Light Rain,967,0.3421,0.0,0.1079,39.96,0.2834,140.97,Poor,Yes
Season=Winter & Wind Speed=Moderate(1-3),844,0.2462,0.0,0.1076,38.37,0.2683,143.0,Poor,Yes
Season=Monsoon & Wind Speed=Low(0-1),340,0.1113,0.040238,0.1022,14.27,0.4257,33.51,Poor,Yes
Geo_Zone=Inland_SemiUrban & Season=Winter & Humidity_Profile=Moderate (50-75%),342,0.5263,0.0,0.1015,32.34,0.2979,108.57,Poor,Yes
Season=Winter & RH=High(60-80%),1375,0.3241,0.0,0.0965,44.86,0.3212,139.67,Poor,Yes
Season=Winter & Wind_Origin=Marine (Clean) & Temp_Profile=Warm (20-28°C),1072,0.2779,0.0,0.0919,37.43,0.2693,138.98,Poor,Yes
Season=Post-Monsoon & Solar Rad=High(>300),142,0.2363,0.004638,0.0904,50.71,0.644,78.74,Poor,Yes
Season=Winter & Rain_Status=Light Rain,1266,0.3159,0.0,0.0895,39.82,0.2795,142.5,Poor,Yes
Season=Winter & AOD_Loading=Low AOD (<0.3) & Humidity_Profile=Moderate (50-75%),253,0.3351,0.0,0.0847,41.99,0.3684,113.98,Poor,Yes
Season=Winter & Wind_Origin=Marine (Clean),1665,0.286,0.0,0.0829,49.01,0.333,147.18,Poor,Yes
Humidity_Profile=Dry (<50%) & Rain_Status=Light Rain,199,0.0785,0.270341,0.0826,25.99,0.2049,126.84,Poor,No
Geo_Zone=Inland_Urban & Season=Pre-Monsoon & Wind_Origin=Continental (Polluted),83,0.1063,0.339062,0.0801,37.65,0.3379,111.43,Poor,No
Geo_Zone=Inland_SemiUrban & Season=Winter & Rain_Status=Light Rain,346,0.4203,0.0,0.0714,26.97,0.2535,106.4,Poor,Yes
Geo_Zone=Coastal & Wind_Origin=Continental (Polluted),354,0.1454,0.006142,0.0706,52.88,0.5523,95.76,Poor,Yes
Season=Winter & Humidity_Profile=Moderate (50-75%),1457,0.303,0.0,0.0617,44.34,0.3134,141.47,Poor,Yes
Season=Monsoon & Solar Rad=Moderate(150-300),442,0.1981,2.7e-05,0.0606,9.38,0.3093,30.32,Poor,Yes
Season=Monsoon & AOD_Loading=Moderate AOD (0.3-0.8) & Wind_Origin=Continental (Polluted),69,-0.0256,0.834411,0.059,14.2,0.3895,36.46,Poor,No
Season=Winter & Temp_Profile=Warm (20-28°C) & Rain_Status=Light Rain,767,0.3212,0.0,0.0506,37.09,0.2753,134.7,Poor,Yes
Geo_Zone=Coastal & Season=Monsoon & Rain_Status=No Rain,369,0.1045,0.044873,0.0482,27.4,1.0086,27.17,Poor,Yes
Season=Post-Monsoon & Humidity_Profile=Moderate (50-75%) & Rain_Status=Light Rain,482,0.4093,0.0,0.0452,40.61,0.594,68.36,Poor,Yes
Geo_Zone=Inland_Urban & Season=Monsoon & Rain_Status=Heavy Rain,137,0.1787,0.036691,0.0445,25.78,0.5728,45.0,Poor,Yes
Season=Winter & Solar Rad=Moderate(150-300),881,0.324,0.0,0.0404,42.75,0.3277,130.47,Poor,Yes
Wind_Origin=Continental (Polluted) & Humidity_Profile=Moderate (50-75%),502,0.2242,0.0,0.0361,56.48,0.4905,115.14,Poor,Yes
Geo_Zone=Inland_Urban & Season=Post-Monsoon & Humidity_Profile=Moderate (50-75%),367,0.1011,0.05304,0.0308,38.31,0.4205,91.1,Poor,No
Temperature = Mild(20-25°C),2385,0.2033,0.0,0.0292,49.9,0.4392,113.63,Poor,Yes
Season = Winter,3934,0.1937,0.0,0.0289,52.44,0.3786,138.5,Poor,Yes
Season=Winter & Temperature=Mild(20-25°C),1432,0.24,0.0,0.025,38.67,0.2889,133.88,Poor,Yes
Temp_Profile = Warm (20-28°C),3826,0.1738,0.0,0.0236,49.6,0.4838,102.53,Poor,Yes
Solar Rad = VeryLow(<50),382,0.2206,1.4e-05,0.0201,51.77,0.5237,98.86,Poor,Yes
Season=Monsoon & Humidity_Profile=Moderate (50-75%),266,0.1472,0.01626,0.02,17.03,0.4348,39.16,Poor,Yes
Season=Winter & Temp_Profile=Warm (20-28°C),1653,0.228,0.0,0.0196,39.51,0.2935,134.61,Poor,Yes
Geo_Zone=Inland_Urban & Season=Post-Monsoon & Humidity_Profile=Dry (<50%),82,0.0502,0.654056,0.0162,26.74,0.395,67.7,Poor,No
AOD_Loading = High AOD (>0.8),3650,0.1275,0.0,0.0159,63.32,0.6171,102.61,Poor,Yes
Season=Winter & Humidity_Profile=Moderate (50-75%) & Rain_Status=Light Rain,779,0.3886,0.0,0.0125,41.15,0.285,144.4,Poor,Yes
Season=Winter & Humidity_Profile=Humid (>75%) & Rain_Status=Light Rain,372,0.2126,3.6e-05,0.0123,42.29,0.3111,135.94,Poor,Yes
Geo_Zone=Inland_SemiUrban & Season=Monsoon & Rain_Status=No Rain,236,0.0305,0.641555,0.0119,13.03,0.467,27.9,Poor,No
Rain_Status = No Rain,6287,0.1236,0.0,0.0087,57.35,0.6465,88.71,Poor,Yes
Geo_Zone=Coastal & Rain_Status=No Rain,2680,0.0967,1e-06,0.0079,48.24,0.5971,80.79,Poor,Yes
Season=Winter & AOD_Loading=Low AOD (<0.3),503,0.2178,1e-06,0.0051,43.93,0.377,116.54,Poor,Yes
Humidity_Profile = Moderate (50-75%),3563,0.1667,0.0,0.005,53.29,0.515,103.48,Poor,Yes
Season=Pre-Monsoon & Rain_Status=No Rain,1513,-0.0716,0.005306,0.0035,46.55,0.5793,80.36,Poor,Yes
Season = Post-Monsoon,2670,0.1222,0.0,0.0032,41.14,0.554,74.26,Poor,Yes
Overall — All Data,11045,0.1374,0.0,0.0004,58.57,0.6248,93.75,Poor,Yes
Season=Pre-Monsoon & Temperature=Warm(25-30°C),946,-0.0733,0.024167,0.0,43.68,0.5782,75.55,Poor,Yes
Season=Pre-Monsoon & Temperature=Mild(20-25°C),389,-0.1938,0.00012,0.0,42.44,0.4341,97.76,Poor,Yes
Season=Monsoon & Temperature=Warm(25-30°C),381,0.0624,0.224176,0.0,17.4,0.5607,31.02,Poor,No
Season=Post-Monsoon & AOD_Loading=Moderate AOD (0.3-0.8),1295,0.0611,0.027899,0.0,41.55,0.5562,74.7,Poor,Yes
Season=Winter & Wind Speed=Low(0-1),981,0.2491,0.0,0.0,50.22,0.3685,136.29,Poor,Yes
Season=Winter & Wind Speed=High(3-5),80,0.2561,0.021852,0.0,41.04,0.2551,160.91,Poor,Yes
