Monitoring_Station,Date,Year,Month,AOD,PM2.5
Agrabad,2014-01-01,2014,1,0.2656,
Agrabad,2014-01-02,2014,1,0.3694,
Agrabad,2014-01-03,2014,1,0.6235,
Agrabad,2014-01-04,2014,1,0.583,
Agrabad,2014-01-05,2014,1,0.594,
Agrabad,2014-01-06,2014,1,0.8398,130.82
Agrabad,2014-01-07,2014,1,0.4649,171.9
Agrabad,2014-01-08,2014,1,0.5815,126.16
Agrabad,2014-01-09,2014,1,0.3213,148.77
Agrabad,2014-01-10,2014,1,0.2089,149.23
Agrabad,2014-01-11,2014,1,0.1124,136.23
Agrabad,2014-01-12,2014,1,1.1733,209.03
Agrabad,2014-01-13,2014,1,0.56,125.77
Agrabad,2014-01-14,2014,1,0.8556,162.63
Agrabad,2014-01-15,2014,1,0.9007,193.2
Agrabad,2014-01-16,2014,1,0.7038,178.04
Agrabad,2014-01-17,2014,1,0.3797,181.86
Agrabad,2014-01-18,2014,1,0.377,170.77
Agrabad,2014-01-19,2014,1,0.5561,177.9
Agrabad,2014-01-20,2014,1,0.523,141.64
Agrabad,2014-01-21,2014,1,0.37,135.84
Agrabad,2014-01-22,2014,1,0.2659,133.32
Agrabad,2014-01-23,2014,1,0.2517,117.96
Agrabad,2014-01-24,2014,1,0.3837,164.92
Agrabad,2014-01-25,2014,1,0.4379,126.29
Agrabad,2014-01-26,2014,1,0.4816,114.8
Agrabad,2014-01-27,2014,1,0.3566,117.32
Agrabad,2014-01-28,2014,1,,198.45
Agrabad,2014-01-29,2014,1,,165.84
Agrabad,2014-01-30,2014,1,0.1778,116.05
Agrabad,2014-01-31,2014,1,0.2246,157.71
Agrabad,2014-02-01,2014,2,0.275,172.05
Agrabad,2014-02-02,2014,2,0.2431,163.94
Agrabad,2014-02-03,2014,2,0.237,125.48
Agrabad,2014-02-04,2014,2,0.3575,171.29
Agrabad,2014-02-05,2014,2,0.7818,171.64
Agrabad,2014-02-06,2014,2,0.9666,184.68
Agrabad,2014-02-07,2014,2,0.4345,155.04
Agrabad,2014-02-08,2014,2,0.7804,152.73
Agrabad,2014-02-09,2014,2,,69.45
Agrabad,2014-02-10,2014,2,1.1137,89.01
Agrabad,2014-02-11,2014,2,0.1594,108.05
Agrabad,2014-02-12,2014,2,1.0706,112.88
Agrabad,2014-02-13,2014,2,0.3389,97.1
Agrabad,2014-02-14,2014,2,0.3817,98.78
Agrabad,2014-02-15,2014,2,0.6495,103.71
Agrabad,2014-02-16,2014,2,,110.64
Agrabad,2014-02-17,2014,2,,48.21
Agrabad,2014-02-18,2014,2,0.4457,75.7
Agrabad,2014-02-19,2014,2,0.2297,91.68
Agrabad,2014-02-20,2014,2,0.3083,142.51
Agrabad,2014-02-21,2014,2,0.2641,175.15
Agrabad,2014-02-22,2014,2,0.4255,166.98
Agrabad,2014-02-23,2014,2,0.5516,179.19
Agrabad,2014-02-24,2014,2,0.4522,142.77
Agrabad,2014-02-25,2014,2,0.4462,90.1
Agrabad,2014-02-26,2014,2,0.3047,116.12
Agrabad,2014-02-27,2014,2,0.4337,145.12
Agrabad,2014-02-28,2014,2,0.7847,123.87
Agrabad,2014-03-01,2014,3,0.1913,75.3
Agrabad,2014-03-02,2014,3,0.1884,52.32
Agrabad,2014-03-03,2014,3,0.2566,66.69
Agrabad,2014-03-04,2014,3,,98.94
Agrabad,2014-03-05,2014,3,0.2884,90.43
Agrabad,2014-03-06,2014,3,0.3165,115.7
Agrabad,2014-03-07,2014,3,0.427,121.1
Agrabad,2014-03-08,2014,3,0.2784,101.58
Agrabad,2014-03-09,2014,3,0.2771,92.59
Agrabad,2014-03-10,2014,3,0.33,112.27
Agrabad,2014-03-11,2014,3,0.4019,134.08
Agrabad,2014-03-12,2014,3,0.2752,142.78
Agrabad,2014-03-13,2014,3,1.5193,167.3
Agrabad,2014-03-14,2014,3,0.3602,118.53
Agrabad,2014-03-15,2014,3,0.3061,132.06
Agrabad,2014-03-16,2014,3,0.3613,134.79
Agrabad,2014-03-17,2014,3,0.2413,160.85
Agrabad,2014-03-18,2014,3,0.8055,134.86
Agrabad,2014-03-19,2014,3,0.7644,99.53
Agrabad,2014-03-20,2014,3,1.1116,79.43
Agrabad,2014-03-21,2014,3,0.7201,81.43
Agrabad,2014-03-22,2014,3,0.5366,73.94
Agrabad,2014-03-23,2014,3,0.5719,50.42
Agrabad,2014-03-24,2014,3,0.299,63.49
Agrabad,2014-03-25,2014,3,0.3887,52.5
Agrabad,2014-03-26,2014,3,0.6451,
Agrabad,2014-03-27,2014,3,0.679,
Agrabad,2014-03-28,2014,3,1.0638,
Agrabad,2014-03-29,2014,3,0.3595,
Agrabad,2014-03-30,2014,3,0.5527,57.46
Agrabad,2014-03-31,2014,3,0.6043,69.92
Agrabad,2014-04-01,2014,4,1.2959,55.6
Agrabad,2014-04-02,2014,4,0.8013,57.1
Agrabad,2014-04-03,2014,4,1.3591,63.13
Agrabad,2014-04-04,2014,4,0.9751,96.75
Agrabad,2014-04-05,2014,4,,52.4
Agrabad,2014-04-06,2014,4,0.3846,57.01
Agrabad,2014-04-07,2014,4,1.0859,51.38
Agrabad,2014-04-08,2014,4,,42.75
Agrabad,2014-04-09,2014,4,,33.38
Agrabad,2014-04-10,2014,4,0.5891,56.07
Agrabad,2014-04-11,2014,4,0.2621,75.33
Agrabad,2014-04-12,2014,4,0.7023,72.38
Agrabad,2014-04-13,2014,4,0.7755,97.22
Agrabad,2014-04-14,2014,4,0.6477,93.25
Agrabad,2014-04-15,2014,4,0.5884,106.95
Agrabad,2014-04-16,2014,4,0.8951,103.5
Agrabad,2014-04-17,2014,4,,60.69
Agrabad,2014-04-18,2014,4,0.5363,66.57
Agrabad,2014-04-19,2014,4,0.8458,83.85
Agrabad,2014-04-20,2014,4,0.5036,143.98
Agrabad,2014-04-21,2014,4,0.5931,133.61
Agrabad,2014-04-22,2014,4,0.4187,108.1
Agrabad,2014-04-23,2014,4,0.6871,120.47
Agrabad,2014-04-24,2014,4,0.489,69.22
Agrabad,2014-04-25,2014,4,0.3623,54.5
Agrabad,2014-04-26,2014,4,0.7412,44.51
Agrabad,2014-04-27,2014,4,0.334,41.06
Agrabad,2014-04-28,2014,4,,42.7
Agrabad,2014-04-29,2014,4,0.8396,37.32
Agrabad,2014-04-30,2014,4,0.3487,36.09
Agrabad,2014-05-01,2014,5,0.8654,47.42
Agrabad,2014-05-02,2014,5,0.6226,37.71
Agrabad,2014-05-03,2014,5,,33.85
Agrabad,2014-05-04,2014,5,0.351,40.28
Agrabad,2014-05-05,2014,5,,82.64
Agrabad,2014-05-06,2014,5,0.7879,66.93
Agrabad,2014-05-07,2014,5,0.3247,33.68
Agrabad,2014-05-08,2014,5,0.868,28.47
Agrabad,2014-05-09,2014,5,0.5695,14.94
Agrabad,2014-05-10,2014,5,0.5627,18.98
Agrabad,2014-05-11,2014,5,,20.25
Agrabad,2014-05-12,2014,5,0.9121,19.99
Agrabad,2014-05-13,2014,5,1.0178,32.13
Agrabad,2014-05-14,2014,5,1.5579,45.4
Agrabad,2014-05-15,2014,5,1.1747,44.94
Agrabad,2014-05-16,2014,5,0.5526,54.56
Agrabad,2014-05-17,2014,5,0.2497,54.99
Agrabad,2014-05-18,2014,5,0.3336,68.63
Agrabad,2014-05-19,2014,5,0.9459,55.01
Agrabad,2014-05-20,2014,5,0.8018,52.74
Agrabad,2014-05-21,2014,5,0.6137,39.35
Agrabad,2014-05-22,2014,5,0.7857,26.32
Agrabad,2014-05-23,2014,5,0.8415,25.53
Agrabad,2014-05-24,2014,5,,25.1
Agrabad,2014-05-25,2014,5,0.448,25.57
Agrabad,2014-05-26,2014,5,0.7026,24.33
Agrabad,2014-05-27,2014,5,,25.1
Agrabad,2014-05-28,2014,5,,26.0
Agrabad,2014-05-29,2014,5,0.625,36.58
Agrabad,2014-05-30,2014,5,1.1116,31.69
Agrabad,2014-05-31,2014,5,,45.46
Agrabad,2014-06-01,2014,6,,30.52
Agrabad,2014-06-02,2014,6,,40.5
Agrabad,2014-06-03,2014,6,,47.72
Agrabad,2014-06-04,2014,6,,29.95
Agrabad,2014-06-05,2014,6,0.813,30.92
Agrabad,2014-06-06,2014,6,,25.06
Agrabad,2014-06-07,2014,6,0.8621,24.65
Agrabad,2014-06-08,2014,6,1.0168,15.5
Agrabad,2014-06-09,2014,6,,15.95
Agrabad,2014-06-10,2014,6,,19.35
Agrabad,2014-06-11,2014,6,1.6159,28.35
Agrabad,2014-06-12,2014,6,,42.66
Agrabad,2014-06-13,2014,6,1.8624,53.81
Agrabad,2014-06-14,2014,6,0.7143,33.85
Agrabad,2014-06-15,2014,6,,29.39
Agrabad,2014-06-16,2014,6,,35.56
Agrabad,2014-06-17,2014,6,,56.48
Agrabad,2014-06-18,2014,6,,25.06
Agrabad,2014-06-19,2014,6,,18.38
Agrabad,2014-06-20,2014,6,,12.51
Agrabad,2014-06-21,2014,6,,18.51
Agrabad,2014-06-22,2014,6,,25.74
Agrabad,2014-06-23,2014,6,,33.94
Agrabad,2014-06-24,2014,6,,35.53
Agrabad,2014-06-25,2014,6,,29.91
Agrabad,2014-06-26,2014,6,,18.88
Agrabad,2014-06-27,2014,6,,
Agrabad,2014-06-28,2014,6,,
Agrabad,2014-06-29,2014,6,,
Agrabad,2014-06-30,2014,6,,
Agrabad,2014-07-01,2014,7,,
Agrabad,2014-07-02,2014,7,,
Agrabad,2014-07-03,2014,7,,
Agrabad,2014-07-04,2014,7,,
